time,open,high,low,close,HV
2022-12-04T08:00:00+08:00,1240.6,1286.2,1240.6,1279.6,92.15845316828005
2022-12-05T08:00:00+08:00,1278.6,1305.4,1247.8,1259.6,92.22931817405733
2022-12-06T08:00:00+08:00,1259.6,1274.2,1241.7,1271.4,92.19333351393512
2022-12-07T08:00:00+08:00,1271.4,1276.9,1219.4,1231.2,92.474511623077
2022-12-08T08:00:00+08:00,1231.5,1292.6,1222.7,1280.8,92.99325441817183
2022-12-09T08:00:00+08:00,1280,1296.1,1256.1,1262.9,92.84890718286911
2022-12-10T08:00:00+08:00,1263.3,1281.3,1260,1266.7,92.8331265896617
2022-12-11T08:00:00+08:00,1266.6,1284,1256.8,1263.6,92.79091792421877
2022-12-12T08:00:00+08:00,1263.2,1279,1240.8,1274.7,92.80926243938549
2022-12-13T08:00:00+08:00,1276.2,1350,1255.9,1320.5,93.1986242046379
2022-12-14T08:00:00+08:00,1320.3,1352.2,1300.2,1307.3,93.13702789818421
2022-12-15T08:00:00+08:00,1307.5,1311.2,1259.2,1266.4,93.27784259186083
2022-12-16T08:00:00+08:00,1266.8,1279.5,1156.6,1167.3,95.21298299719867
2022-12-17T08:00:00+08:00,1166.7,1189.7,1162.3,1187.6,95.27121381248077
2022-12-18T08:00:00+08:00,1188,1196.4,1173.2,1183.1,95.1651714429196
2022-12-19T08:00:00+08:00,1183.8,1194.8,1150.6,1167.7,95.20836154332136
2022-12-20T08:00:00+08:00,1167.9,1230.2,1163.4,1216.9,95.7204901237165
2022-12-21T08:00:00+08:00,1217.1,1221.7,1202.3,1214,95.67633581687103
2022-12-22T08:00:00+08:00,1213.5,1236.6,1182.4,1218,95.19676394032398
2022-12-23T08:00:00+08:00,1218.1,1230.1,1212.6,1220.3,95.14554327509767
2022-12-24T08:00:00+08:00,1220.3,1227.3,1214.6,1220.5,92.79255093820419
2022-12-25T08:00:00+08:00,1220.5,1223.7,1196.5,1218.1,90.97806239073167
2022-12-26T08:00:00+08:00,1218.5,1230.8,1211.6,1227.7,90.7150697428056
2022-12-27T08:00:00+08:00,1228,1233.6,1200.8,1211,90.43699292310971
2022-12-28T08:00:00+08:00,1211.2,1215.2,1181.9,1189.5,89.77865789150145
2022-12-29T08:00:00+08:00,1189.7,1205.6,1186.2,1200.2,89.7749386624643
2022-12-30T08:00:00+08:00,1200.2,1201.7,1181.1,1199.3,89.76847278790694
2022-12-31T08:00:00+08:00,1199.3,1207.6,1191.6,1195.1,89.74712739383476
2023-01-01T08:00:00+08:00,1195.2,1203.5,1191.1,1200,89.36449130248913
2023-01-02T08:00:00+08:00,1200.2,1222.9,1193,1214.5,89.40081803071135
2023-01-03T08:00:00+08:00,1214.5,1219.5,1204.9,1214.5,87.40271656911476
2023-01-04T08:00:00+08:00,1214.3,1270.2,1212.6,1256.5,87.908636153995
2023-01-05T08:00:00+08:00,1256.5,1259.5,1242.2,1250.6,87.53380763342736
2023-01-06T08:00:00+08:00,1250.9,1276,1235.6,1269.2,87.6470837180292
2023-01-07T08:00:00+08:00,1269.1,1270.7,1261.2,1263.9,78.33059231735993
2023-01-08T08:00:00+08:00,1264,1294.2,1257.9,1289.6,62.16651416284583
2023-01-09T08:00:00+08:00,1289.6,1345,1285.5,1320.5,47.95806905106286
2023-01-10T08:00:00+08:00,1320.4,1347.5,1317,1335.5,47.98830692733588
